default_code,name,standard_price,list_price
BAC_75NP_040,Tole bac 0 75MM 4 00M galva 1000/24kg - feuilles,61000,85600
BAC_75NP_045,Tole bac 0 75MM 4 50M galva 1000/27kg - feuilles,68625,96300
BAC_75NP_050,Tole bac 0 75MM 5 00M galva 1000/30kg - feuilles,76250,107000
BAC_75NP_055,Tole bac 0 75MM 5 50M galva 1000/33kg - feuilles,83875,117700
BAC_75NP_060,Tole bac 0 75MM 6 00M galva 1000/36kg - feuilles,91500,128400
BAC_75NP_999,Tole bac 0 75MM coupe longueur galva 1000/6kg - metre,15250,21400
BAC_80NG_001,Tole bac cintrée 0 80MM coupe longueur galva 1250 - metre,18179,32100
BAC_80NG_020,Tole bac 0 80MM 2 00M galva 1250/16kg - feuilles,36358,51360
BAC_80NG_025,Tole bac 0 80MM 2 50M galva 1250/20kg - feuilles,45448,64200
BAC_80NG_030,Tole bac 0 80MM 3 00M galva 1250/24kg - feuilles,54537,77040
BAC_80NG_035,Tole bac 0 80MM 3 50M galva 1250/28kg - feuilles,63627,89880
BAC_80NG_040,Tole bac 0 80MM 4 00M galva 1250/32kg - feuilles,72716,102720
BAC_80NG_045,Tole bac 0 80MM 4 50M galva 1250/36kg - feuilles,81806,115560
BAC_80NG_050,Tole bac 0 80MM 5 00M galva 1250/40kg - feuilles,90895,128400
BAC_80NG_055,Tole bac 0 80MM 5 50M galva 1250/44kg - feuilles,99985,141240
BAC_80NG_060,Tole bac 0 80MM 6 00M galva 1250/48kg - feuilles,109074,154080
BAC_80NG_999,Tole bac 0 80MM coupe longueur galva 1250/8kg - metre,18179,25680
BAZ_25NP_020,Tole Bac 0.25 Aluzinc en 1000ml en 2M00,0,0
BAZ_25NP_025,Tole Bac 0.25 Aluzinc en 1000ml en 2M50,0,0
BAZ_25NP_030,Tole Bac 0.25 Aluzinc en 1000ml en 3M00,0,0
BAZ_25NP_035,Tole Bac 0.25 Aluzinc en 1000ml en 3M50,0,0
BAZ_25NP_040,Tole Bac 0.25 Aluzinc en 1000ml en 4M00,0,0
BAZ_25NP_045,Tole Bac 0.25 Aluzinc en 1000ml en 4M50,0,0
BAZ_25NP_050,Tole Bac 0.25 Aluzinc en 1000ml en 5M00,0,0
BAZ_25NP_055,Tole Bac 0.25 Aluzinc en 1000ml en 5M50,0,0
BAZ_25NP_060,Tole Bac 0.25 Aluzinc en 1000ml en 6M00,0,0
BAZ_25NP_999,Tole Bac 0.25 Aluzinc en 1000ml coupée longueur,0,0
BAZ_30NP_020,Tole Bac 0.30 Aluzinc en 1000ml en 2M00,0,0
BAZ_30NP_025,Tole Bac 0.30 Aluzinc en 1000ml en 2M50,0,0
