"id","journal_id.id","partner_id/id","period_id.id","date","name","state"
"FAA13879",105,"C22970",1,2011/01/06,"FAA13879","posted"
"FAA13870",105,"C62049",1,2011/01/06,"FAA13870","posted"
"FAA13871",105,"C22907",1,2011/01/06,"FAA13871","posted"
"FAA13872",105,"C22756",1,2011/01/06,"FAA13872","posted"
"FAA13874",105,"C22970",1,2011/01/06,"FAA13874","posted"
"FAA13875",105,"C22970",1,2011/01/06,"FAA13875","posted"
"FAA13891",105,"C22970",1,2011/01/06,"FAA13891","posted"
"FAA13876",105,"C22015",1,2011/01/06,"FAA13876","posted"
"FAA13800",105,"C72003",1,2011/01/05,"FAA13800","posted"
"FAA13799",105,"C22986",1,2011/01/05,"FAA13799","posted"
"FAA14310",105,"C22970",1,2011/01/13,"FAA14310","posted"
"FAA13801",105,"C22101",1,2011/01/05,"FAA13801","posted"
"FAA13802",105,"C62049",1,2011/01/05,"FAA13802","posted"
"FAA13805",105,"C22908",1,2011/01/05,"FAA13805","posted"
"FAA14751",105,"C75015",1,2011/01/19,"FAA14751","posted"
"FAA13807",105,"C22970",1,2011/01/05,"FAA13807","posted"
"FAA13809",105,"C22909",1,2011/01/05,"FAA13809","posted"
"FAA13808",105,"C24039",1,2011/01/05,"FAA13808","posted"
"FAA13811",105,"C22440",1,2011/01/05,"FAA13811","posted"
"FAI07044",105,"C22924",1,2011/01/07,"FAI07044","posted"
"FAA13815",105,"C95003",1,2011/01/05,"FAA13815","posted"
"FAI07043",105,"C22909",1,2011/01/05,"FAI07043","posted"
"FAA13812",105,"C22970",1,2011/01/05,"FAA13812","posted"
"FAA13813",105,"C22908",1,2011/01/05,"FAA13813","posted"
"FAA13814",105,"C22909",1,2011/01/05,"FAA13814","posted"
"FAA13816",105,"C22959",1,2011/01/05,"FAA13816","posted"
"FAA13817",105,"C73011",1,2011/01/05,"FAA13817","posted"
"FAT08861",105,"C53299",1,2011/01/04,"FAT08861","posted"
"FAT08862",105,"C53298",1,2011/01/04,"FAT08862","posted"
"FAA13735",105,"C22907",1,2011/01/04,"FAA13735","posted"
"FAA13736",105,"C22907",1,2011/01/04,"FAA13736","posted"
"FAA13734",105,"C22970",1,2011/01/04,"FAA13734","posted"
"FAT08864",105,"C53058",1,2011/01/04,"FAT08864","posted"
"FAT08865",105,"C53296",1,2011/01/04,"FAT08865","posted"
"FAT09031",105,"C53902",1,2011/01/11,"FAT09031","posted"
"FAT08866",105,"C53902",1,2011/01/04,"FAT08866","posted"
"FAA13738",105,"C22806",1,2011/01/04,"FAA13738","posted"
"FAA13739",105,"C86002",1,2011/01/04,"FAA13739","posted"
"FAA13737",105,"C22970",1,2011/01/04,"FAA13737","posted"
"FAT09037",105,"C53901",1,2011/01/11,"FAT09037","posted"
"FAA13740",105,"C22970",1,2011/01/04,"FAA13740","posted"
"FAA13745",105,"C22896",1,2011/01/04,"FAA13745","posted"
"FAA13741",105,"C22907",1,2011/01/04,"FAA13741","posted"
"FAT08868",105,"C53296",1,2011/01/04,"FAT08868","posted"
"FAA13877",105,"C24017",1,2011/01/06,"FAA13877","posted"
"FAA13878",105,"C22909",1,2011/01/06,"FAA13878","posted"
"FAA13881",105,"C75015",1,2011/01/06,"FAA13881","posted"
"FAA13880",105,"C22970",1,2011/01/06,"FAA13880","posted"
"FAA13904",105,"C22080",1,2011/01/06,"FAA13904","posted"
"FAT08899",105,"C53902",1,2011/01/06,"FAT08899","posted"
"FAT08900",105,"C53016",1,2011/01/06,"FAT08900","posted"
"FAT08901",105,"C53097",1,2011/01/06,"FAT08901","posted"
"FAT08902",105,"C53299",1,2011/01/06,"FAT08902","posted"
"FAT08905",105,"C53162",1,2011/01/06,"FAT08905","posted"
"FAT08904",105,"C53147",1,2011/01/06,"FAT08904","posted"
