.id,prix1,prix2,prix3,prix4,prix5,prix6,prix7,prix8,prix9,list_price
5497,1,1,1,1,2451,1,1,1,1,1
5497,1,1,1,1,1,1,2451,1,1,1
5497,1,1,1,1,1,1,1,2346.5,1,1
10575,1,1,1,1,1,1,1,7961,1,1
5498,1,1,1,1,1,1,2125.5,1,1,1
5498,1,1,1,1,1,1,1,1991,1,1
5499,1,1,1,1,1,1,1,31446,1,1
5499,1,1,1,31446,1,1,1,1,1,1
5503,1,1,1,1,1,1,1,5281,1,1
5503,1,1,1,5281,1,1,1,1,1,1
5506,1,1,1,1,1,1,1,15291,1,1
5506,1,1,1,15291,1,1,1,1,1,1
5509,1,1,1,1,1,1,1,2189,1,1
5509,1,1,1,2189,1,1,1,1,1,1
5509,1,1,1,1,1,1,1,1,1,1
5509,1,1,1,1,1,1,1,1,1,1
5509,1,1,1,1,1,1,1,1,1,1
5509,1,1,1,1,1,1,1,1,1,1
5509,1,1,1,1,1,1,1,1,1,1
5509,1,1,1,1,1,1,1,1,1,1
5510,1,1,1,1,1,1,1,14134,1,1
5510,1,1,1,14134,1,1,1,1,1,1
5511,1,1,1,1,1,1,1,5281,1,1
5511,1,1,1,5281,1,1,1,1,1,1
5512,1,1,1,1,1,1,1,5281,1,1
5512,1,1,1,5281,1,1,1,1,1,1
5513,1,1,1,1,1,1,1,5281,1,1
5513,1,1,1,5281,1,1,1,1,1,1
5515,1,1,1,1,1,1,1,1,1,558
5515,1,1,1,1,1,1,1,1,611,1
5515,1,1,1,1,584,1,1,1,1,1
5515,584,1,1,1,1,1,1,1,1,1
5515,1,1,584,1,1,1,1,1,1,1
5515,1,1,1,1,1,1,1,1,1,584
5515,1,1,1,1,1,1,572,1,1,1
5515,1,1,1,1,1,1,1,558,1,1
5515,1,1,1,547,1,1,1,1,1,1
5516,1128,1,1,1,1,1,1,1,1,1
5516,1,1,1128,1,1,1,1,1,1,1
5516,1,1,1,1,1,1,1,1,1,1128
5516,1,1,1,1,1128,1,1,1,1,1
5516,1,1,1,1,1,1,1118,1,1,1
5516,1,1,1,1,1,1,1,1111,1,1
5516,1,1,1,966.25,1,1,1,1,1,1
5516,1,1,1,1,1,1,1,1,1156,1
5516,1,1,1,1,1,1,1,1,1,991
5517,1,1,1,1,1,1,1,1,1,3584
5517,1,1,1,1,1,1,1,1,3889,1
5517,3783,1,1,1,1,1,1,1,1,1
5517,1,1,3783,1,1,1,1,1,1,1
5517,1,1,1,1,1,1,1,1,1,3783
5517,1,1,1,1,3783,1,1,1,1,1
5517,1,1,1,1,1,1,3712,1,1,1
5517,1,1,1,1,1,1,1,3694,1,1
5517,1,1,1,3561,1,1,1,1,1,1
5519,584,1,1,1,1,1,1,1,1,1
5519,1,1,584,1,1,1,1,1,1,1
5519,1,1,1,1,1,1,1,1,1,584
5519,1,1,1,1,584,1,1,1,1,1
5519,1,1,1,1,1,1,572,1,1,1
5519,1,1,1,1,1,1,1,558,1,1
5519,1,1,1,547,1,1,1,1,1,1
5519,1,1,1,1,1,1,1,1,611,1
5519,1,1,1,1,1,1,1,1,1,558
5520,1,1,1,1,1,1,1,1,1,991
5520,1,1,1,1,1,1,1,1,1156,1
5520,1128,1,1,1,1,1,1,1,1,1
5520,1,1,1128,1,1,1,1,1,1,1
5520,1,1,1,1,1,1,1,1,1,1128
5520,1,1,1,1,1128,1,1,1,1,1
5520,1,1,1,1,1,1,1118,1,1,1
5520,1,1,1,1,1,1,1,1111,1,1
5520,1,1,1,966.25,1,1,1,1,1,1
5521,3783,1,1,1,1,1,1,1,1,1
5521,1,1,3783,1,1,1,1,1,1,1
5521,1,1,1,1,1,1,1,1,1,3783
5521,1,1,1,1,3783,1,1,1,1,1
5521,1,1,1,1,1,1,3712,1,1,1
